0,GearTorque_1,GearTorque_2,GearTorque_3,GearTorque_4,GearTorque_5,GearTorque_6,Joints_1,Joints_2,Joints_3,Joints_4,Joints_5,Joints_6,RobotPositions_1,RobotPositions_2,RobotPositions_3,RobotPositions_4,RobotPositions_5,RobotPositions_6,MeasuredPositionsLeica_1,MeasuredPositionsLeica_2,MeasuredPositionsLeica_3,MeasuredPositionsLeica_4,MeasuredPositionsLeica_5,MeasuredPositionsLeica_6
46,0.0,0.0,0.0,0.0,0.0,0.0,113.47628,-28.334227,7.0845237,-14.640672,70.60713,8.76814,-1158.4821655273445,-2929.043848876954,1513.2840051269527,-90.86023597717283,16.5373047065735,178.23277313232427,-812.6884631805455,1573.9618867031884,420.738944919234,-159.7432588151554,-16.96599852566551,-56.69397235471542
47,0.0,0.0,0.0,0.0,0.0,0.0,117.79185,-33.364693,21.234108,-38.220497,60.09796,4.9189005,-1158.5089312744142,-2928.8540673828115,1513.4621301269528,-90.54288875579846,6.245036771297529,-157.01257652282715,-827.3262088866248,1452.5205342597924,335.8836078194532,-159.02341500841214,-7.63343022147958,-81.90327975009778
48,0.0,0.0,0.0,0.0,0.0,0.0,114.21083,-40.08965,31.97009,-22.945398,49.08173,17.414116,-1158.2860705566409,-2928.9248266601567,1513.300547485352,-90.54137069702156,6.249639546871123,177.77673393249506,-860.1479305149834,1557.105342768083,428.6265290347107,-159.2906512093024,-6.674259670230453,-56.68461602951998
49,0.0,0.0,0.0,0.0,0.0,0.0,123.56808,-47.878483,87.39842,-86.98832,24.371077,95.00077,-1307.1743902587884,-2341.005936279297,661.2396765136714,-90.5691481781006,6.240047707557222,177.77834846496577,-1341.502283636568,1181.4813662624674,-420.2880323761083,-159.31708459185754,-6.637027882918475,-56.682731893029256
50,0.0,0.0,0.0,0.0,0.0,0.0,120.102356,-49.417553,90.88076,-133.43858,8.369534,129.02272,-1307.0708477783214,-2340.9089672851565,661.0188305664061,-109.39594856262208,5.201947717666283,175.88081581115722,-1395.7233987684187,1174.823948501678,-415.1238607712362,-178.15902743361588,-5.43452867180569,-54.77981690035756
51,0.0,0.0,0.0,0.0,0.0,0.0,126.89858,-42.76919,77.36698,-68.04747,49.59046,91.942154,-1307.2377154541011,-2341.0589416503904,661.4221710205079,-64.44270725250237,6.574772369861318,-179.2481958770752,-1276.009802097623,1217.8124243770849,-428.971225190832,-133.18094462962438,-7.177729922278524,-59.75193049516421
52,0.0,0.0,0.0,0.0,0.0,0.0,126.87418,-41.761703,96.819244,-137.86786,60.64339,145.13632,-1307.454634399414,-2340.903131103515,661.2993936157228,-89.27334640502927,-28.567150650024583,177.47451896667485,-1492.122454678518,1114.6877930398614,-463.9372170060212,-158.17188426475542,28.13508861181641,-57.83446605024819
53,0.0,0.0,0.0,0.0,0.0,0.0,119.16751,-40.347824,65.25437,-8.483752,47.93736,19.169132,-1306.7799627685552,-2341.304602050783,661.3621170043941,-92.3975153350834,41.21586828231812,177.05902717590303,-1193.1974922729464,1242.20731651983,-478.5267786430269,-162.08771712728478,-41.54778033612453,-54.10212712689494
54,0.0,0.0,0.0,0.0,0.0,0.0,128.59229,-40.887848,77.09627,-76.27014,46.054867,55.6487,-1307.1268200683596,-2341.165017089844,661.6543637084962,-90.790636291504,8.303310012817121,-146.45898704528813,-1297.8917360288426,1047.387033421258,-564.2128050527045,-159.04274752354775,-10.028512782816945,-92.41124393865184
55,0.0,0.0,0.0,0.0,0.0,0.0,120.76613,-49.295944,90.57806,-102.07193,14.704558,121.8384,-1306.980259399414,-2341.0270690917964,661.2433200073245,-90.79480350494389,8.31559509277331,162.0374333953857,-1360.872434473196,1265.0155288142428,-390.0503316454049,-159.52697119994252,-8.076409427683432,-40.87561294094982
56,0.0,0.0,0.0,0.0,0.0,0.0,130.59312,-64.028984,92.52616,-61.868942,31.762215,73.67638,-1447.8069250488286,-2032.0136456298824,1049.1023120117188,-90.78266883850112,8.310466728210255,175.9237948608397,-1561.4074950882134,943.4154074780606,-26.66304219839588,-159.5533534415937,-8.646106987915722,-54.75313572486931
57,0.0,0.0,0.0,0.0,0.0,0.0,130.2956,-64.34934,93.06832,-62.002586,29.866644,72.78866,-1447.8398736572265,-2032.0286090087875,1049.1148590087885,-92.60822769165044,8.176317181586784,175.66197631835922,-1566.4801466507874,942.0086552108554,-25.903611907069184,-161.38198555819312,-8.490280049349284,-54.50664343566761
58,0.0,0.0,0.0,0.0,0.0,0.0,133.66844,-57.630558,82.09576,-56.981438,58.778065,83.13105,-1447.9291223144542,-2032.069877929688,1049.3059686279296,-64.21160755157477,9.2428096961973,-179.94607833862315,-1495.4450151132005,980.0578940563688,-38.40704568028188,-132.9681914013751,-9.820882931929846,-58.95050024626221
59,0.0,0.0,0.0,0.0,0.0,0.0,130.77835,-64.24294,93.4462,-66.00297,31.212677,77.4094,-1447.8367468261724,-2032.018135375976,1049.1248455810546,-91.11704330444334,6.677414584159575,175.8753938293456,-1570.0021622526642,939.9190936334217,-25.948753210223355,-159.87268992695067,-7.013637579671673,-54.77946046582613
60,0.0,0.0,0.0,0.0,0.0,0.0,123.48741,-51.041172,65.5627,0.5395878,67.616684,18.322245,-1447.6868481445324,-2032.3270086669925,1049.110250854492,-96.0860706329348,53.05182973861682,173.18289222717257,-1381.4063152385484,1011.8307231329336,-124.6400828483958,-166.6543289019546,-53.179160490268686,-49.09269999611656
61,0.0,0.0,0.0,0.0,0.0,0.0,130.60509,-64.35322,93.52367,-65.35653,30.68694,77.40812,-1447.8510540771483,-2032.020780029296,1049.1208856201172,-91.1399987792969,6.993582403659636,175.096793899536,-1569.8195644071957,944.393404372794,-24.08612268560436,-159.89879365397096,-7.2925198337886625,-53.98384519859443
62,0.0,0.0,0.0,0.0,0.0,0.0,135.64197,-56.778526,84.34731,-67.80718,52.302395,51.49206,-1447.971000366211,-2032.039556884766,1049.3666943359387,-91.13942234039328,6.986848001479879,-150.6255364227295,-1530.5356874836982,805.9773642431156,-153.87891765823957,-159.47960944555325,-8.57942503304011,-88.27206839366764
63,0.0,0.0,0.0,0.0,0.0,0.0,135.98064,-52.997124,87.71741,-72.57083,35.123047,85.86622,-1669.0111962890635,-1998.5140612792973,811.6892501831053,-91.1456526184082,6.984014587402296,179.375442199707,-1505.6532403951217,706.5275741144811,-271.96927289561853,-159.89255149333636,-7.45461899272287,-58.24177381385184
64,0.0,0.0,0.0,0.0,0.0,0.0,135.42886,-53.690605,88.97062,-74.52538,31.36149,85.56851,-1668.9771600341792,-1998.4904766845705,811.6497860717772,-94.90586021423344,6.930114746093534,178.9217750549314,-1516.2298576266828,703.9208809627065,-270.6193464104127,-163.64819386695373,-7.371661962190326,-57.79026370701926
65,0.0,0.0,0.0,0.0,0.0,0.0,138.54541,-46.492813,76.17757,-61.55182,61.023613,89.7326,-1669.0987585449216,-1998.5724127197277,811.8632348632811,-65.01038028717045,6.543520627021509,-177.48988784790043,-1439.8548623305858,742.2752270171555,-281.4500735126495,-133.73767166607738,-7.222733374763716,-61.51673674844246
66,0.0,0.0,0.0,0.0,0.0,0.0,137.20901,-52.69774,90.234535,-86.59151,38.658978,99.868164,-1669.009462890624,-1998.475386352539,811.7170059204103,-90.00314479827883,-0.085150232985954,179.51534683227536,-1534.79564948049,693.2153255571789,-272.5833769434316,-158.71125868267103,-0.4014039719556904,-58.67351961534004
67,0.0,0.0,0.0,0.0,0.0,0.0,128.3841,-41.00699,59.31445,-2.4920363,67.04658,24.70709,-1668.8220458984365,-1998.7838311767573,811.591971130371,-90.6665484619148,54.47954814910879,179.1731652832024,-1315.2217150353476,787.825956700573,-376.0571641979389,-161.37334305213713,-54.87121512536427,-54.925329281865885
68,0.0,0.0,0.0,0.0,0.0,0.0,139.48477,-45.756607,76.73268,-66.46485,54.37041,56.306164,-1669.0669366455086,-1998.545447998048,811.9060577392576,-90.07543231964132,8.890457324981462,-151.5295220184327,-1463.8629974233709,595.6866213305221,-386.3043005410293,-158.4555890016732,-10.46080914377056,-87.30601581200195
69,-767.7729,-177.77228,-1685.0189,-405.59512,-128.35934,15.655911,133.86734,-55.11449,91.60032,-76.77469,26.569738,102.32675,-1668.9474536132818,-1998.4806848144533,811.5917340087889,-90.07885566707073,8.900376048044372,164.9444796752598,-1520.098012562128,783.7360130762327,-241.5958524686725,-158.8257987086201,-8.791373097666144,-43.77101200218257
70,0.0,0.0,0.0,0.0,0.0,0.0,121.07388,-44.093468,77.010155,-69.089485,23.215004,73.18255,-1301.034826049805,-2513.2467614746106,705.5506170654296,-91.5618531799317,7.739388487338976,178.65663772583005,-1180.0910520338225,1253.4782472931397,-379.468110150784,-160.3278232480464,-8.168253006595977,-57.4881558444201
71,0.0,0.0,0.0,0.0,0.0,0.0,117.24003,-45.647808,80.43363,-14.52158,2.2423913,5.959608,-1300.8827020263673,-2513.341378173829,705.4463955688475,-113.21898906707762,6.70621895551666,175.89975082397453,-1242.186376334118,1248.847402453595,-372.024867415871,178.00362490971986,-6.945960252658835,-54.738323692574106
72,0.0,0.0,0.0,0.0,0.0,0.0,125.168526,-35.49828,60.7767,-59.560722,60.59003,82.271706,-1301.2033563232426,-2513.329455566407,705.8305920410156,-55.45368194580081,7.05136856794341,-176.54238845825205,-1094.3872651552135,1309.17818719385,-394.10836218752337,-124.17034336608252,-7.782787394370674,-62.48353357096347
73,0.0,0.0,0.0,0.0,0.0,0.0,124.42167,-36.67658,89.21879,-143.84972,66.3391,145.52472,-1301.454002685547,-2513.148466796877,705.619114074707,-90.04728565216084,-37.94534513473561,178.36450088501,-1370.9767114862711,1171.6550710610825,-450.6845045759936,-159.17916718405033,37.47942749858374,-59.21265813671998
74,0.0,0.0,0.0,0.0,0.0,0.0,116.20123,-26.199883,36.41544,-0.41310453,74.46357,10.73337,-1300.985506591797,-2513.545212402344,705.4939547729492,-92.83879684448289,54.57066019058235,177.78351287841753,-992.7410083016724,1328.088542727707,-483.4868770335024,-163.58121470759372,-54.89661544236533,-53.50061428091336
75,0.0,0.0,0.0,0.0,0.0,0.0,126.51132,-37.550602,69.90381,-80.02351,45.472034,56.11269,-1301.2133898925774,-2513.293607177733,705.8866452026367,-91.11608203887944,3.3323567342759017,-146.9753923797607,-1155.949547737912,1117.6740600121996,-518.497706124797,-159.3468257699439,-5.042735519903337,-92.05293765383728
76,0.0,0.0,0.0,0.0,0.0,0.0,118.676384,-46.008892,84.01891,-112.681206,14.158863,130.6504,-1301.0626702880863,-2513.15013671875,705.3985299682614,-91.12011657714844,3.348471363782898,160.26853027343765,-1235.1369707965675,1337.7074467777863,-343.53694362521475,-159.80132341762155,-3.046122095995889,-39.312150747026685
77,0.0,0.0,0.0,0.0,0.0,0.0,108.19979,-56.946007,64.43281,-26.21859,29.81547,19.798317,-795.4311117553709,-2774.3891418457038,1440.6480334472649,-91.098109703064,3.3618747556209465,178.2105780792236,-1161.2650383644404,1819.021588996756,354.49628848521047,-159.82551966641523,-3.803500675280008,-57.24148580464921
78,0.0,0.0,0.0,0.0,0.0,0.0,106.50963,-57.610924,65.59537,-7.849365,25.660954,-2.0567906,-795.3880566406245,-2774.443261718749,1440.617990722656,-100.35487575531,3.028616198301146,177.688168182373,-1187.8545064922089,1813.9338721517931,356.06729881084345,-169.08690896669248,-3.411113832304524,-56.70622953843256
